,t1 (mode),t2 (mode)
sample_1,-0.3793103448275862,-0.1724137931034483
sample_2,-0.5172413793103449,0.034482758620689655
sample_3,-1.0,0.034482758620689655
sample_4,-0.2413793103448276,-0.1724137931034483
sample_5,-0.10344827586206896,-0.2413793103448276
sample_6,-0.3103448275862069,-0.034482758620689655
sample_7,-0.5862068965517241,-0.3103448275862069
sample_8,-0.4482758620689655,-0.10344827586206896
sample_9,-0.5862068965517241,0.034482758620689655
sample_10,-1.0,0.10344827586206896
sample_11,-1.0,0.10344827586206896
sample_12,-1.0,0.034482758620689655
sample_13,-0.10344827586206896,-0.034482758620689655
sample_14,-0.2413793103448276,-0.1724137931034483
sample_15,-0.2413793103448276,-0.1724137931034483
sample_16,-0.3793103448275862,-0.4482758620689655
sample_17,-0.10344827586206896,-0.1724137931034483
sample_18,-0.4482758620689655,-0.2413793103448276
sample_19,-0.5172413793103449,-0.4482758620689655
sample_20,-1.0,-0.1724137931034483
sample_21,-1.0,-0.6551724137931034
sample_22,-0.3793103448275862,-0.5172413793103449
sample_23,-0.3793103448275862,-0.5172413793103449
sample_24,-0.2413793103448276,-0.4482758620689655
sample_25,-0.034482758620689655,-0.3103448275862069
sample_26,-0.3793103448275862,-0.034482758620689655
sample_27,-0.5172413793103449,0.1724137931034483
sample_28,-1.0,0.1724137931034483
sample_29,-1.0,0.1724137931034483
sample_30,-0.4482758620689655,-0.10344827586206896
sample_31,-0.10344827586206896,-0.1724137931034483
sample_32,-0.034482758620689655,-0.2413793103448276
sample_33,-0.034482758620689655,-0.2413793103448276
sample_34,-0.034482758620689655,-0.2413793103448276
sample_35,-0.5172413793103449,0.10344827586206896
sample_36,-0.5862068965517241,0.10344827586206896
sample_37,-0.5862068965517241,0.10344827586206896
sample_38,-0.3793103448275862,-0.3793103448275862
sample_39,-1.0,0.10344827586206896
sample_40,-1.0,0.1724137931034483
sample_41,-1.0,0.10344827586206896
sample_42,-1.0,0.1724137931034483
sample_43,-1.0,0.1724137931034483
sample_44,-0.034482758620689655,0.10344827586206896
sample_45,-0.1724137931034483,-0.034482758620689655
sample_46,-0.034482758620689655,-0.10344827586206896
sample_47,-0.034482758620689655,-0.1724137931034483
sample_48,-0.5172413793103449,-0.4482758620689655
sample_49,-0.6551724137931034,-0.3793103448275862
sample_50,-0.5172413793103449,-0.5862068965517241
sample_51,-0.4482758620689655,-0.2413793103448276
sample_52,-0.5172413793103449,-0.4482758620689655
sample_53,-1.0,-0.7931034482758621
sample_54,-0.3103448275862069,-0.5862068965517241
sample_55,-0.3103448275862069,-0.5172413793103449
sample_56,-0.3103448275862069,-0.5862068965517241
sample_57,0.10344827586206896,-1.0
sample_58,0.10344827586206896,-0.2413793103448276
sample_59,0.034482758620689655,-0.3103448275862069
sample_60,-0.6551724137931034,0.3793103448275862
sample_61,-1.0,0.2413793103448276
sample_62,-1.0,0.2413793103448276
sample_63,0.1724137931034483,-0.10344827586206896
sample_64,-0.034482758620689655,-0.10344827586206896
sample_65,-0.4482758620689655,0.2413793103448276
sample_66,-0.5172413793103449,0.2413793103448276
sample_67,-0.4482758620689655,0.2413793103448276
sample_68,-1.0,0.2413793103448276
sample_69,-0.6551724137931034,0.3103448275862069
sample_70,-1.0,0.1724137931034483
sample_71,-0.9310344827586207,0.1724137931034483
sample_72,-0.034482758620689655,0.1724137931034483
sample_73,0.034482758620689655,-0.034482758620689655
sample_74,0.034482758620689655,-0.034482758620689655
sample_75,0.034482758620689655,-0.034482758620689655
sample_76,-0.5172413793103449,-0.5172413793103449
sample_77,-0.5862068965517241,-0.4482758620689655
sample_78,-0.4482758620689655,-0.5862068965517241
sample_79,-0.4482758620689655,-0.6551724137931034
sample_80,-0.4482758620689655,-0.6551724137931034
sample_81,-0.5862068965517241,-0.4482758620689655
sample_82,-0.4482758620689655,-0.7241379310344828
sample_83,-0.9310344827586207,-0.9310344827586207
sample_84,-0.8620689655172413,-1.0
sample_85,0.2413793103448276,-0.8620689655172413
sample_86,0.3103448275862069,-0.6551724137931034
sample_87,0.1724137931034483,-1.0
sample_88,0.2413793103448276,-0.5862068965517241
sample_89,-0.034482758620689655,-0.9310344827586207
sample_90,-0.6551724137931034,-0.9310344827586207
sample_91,0.10344827586206896,-1.0
sample_92,0.10344827586206896,-1.0
sample_93,-0.3103448275862069,-0.8620689655172413
sample_94,0.2413793103448276,-0.1724137931034483
sample_95,-0.3103448275862069,0.3793103448275862
sample_96,-0.4482758620689655,0.3103448275862069
sample_97,0.2413793103448276,0.034482758620689655
sample_98,0.10344827586206896,-0.10344827586206896
sample_99,0.1724137931034483,-0.1724137931034483
sample_100,0.10344827586206896,-0.10344827586206896
sample_101,0.034482758620689655,-0.034482758620689655
sample_102,0.10344827586206896,-0.10344827586206896
sample_103,0.10344827586206896,-0.10344827586206896
sample_104,0.1724137931034483,0.034482758620689655
sample_105,0.10344827586206896,-0.10344827586206896
sample_106,0.034482758620689655,-0.034482758620689655
sample_107,-0.3103448275862069,0.2413793103448276
sample_108,-0.3793103448275862,-0.9310344827586207
sample_109,-0.3793103448275862,0.3793103448275862
sample_110,-0.3793103448275862,0.3793103448275862
sample_111,-0.6551724137931034,0.3793103448275862
sample_112,-0.8620689655172413,0.2413793103448276
sample_113,-0.7931034482758621,0.2413793103448276
sample_114,-0.5862068965517241,0.3793103448275862
sample_115,-0.2413793103448276,-0.9310344827586207
sample_116,0.10344827586206896,0.034482758620689655
sample_117,0.1724137931034483,-0.034482758620689655
sample_118,0.1724137931034483,0.034482758620689655
sample_119,0.10344827586206896,0.034482758620689655
sample_120,0.10344827586206896,0.034482758620689655
sample_121,-0.2413793103448276,0.3103448275862069
sample_122,-0.1724137931034483,0.3103448275862069
sample_123,-0.8620689655172413,0.034482758620689655
sample_124,-0.2413793103448276,-0.7931034482758621
sample_125,-0.2413793103448276,-0.7931034482758621
sample_126,-0.4482758620689655,0.3793103448275862
sample_127,-1.0,0.3793103448275862
sample_128,0.3103448275862069,-0.5172413793103449
sample_129,0.10344827586206896,-0.9310344827586207
sample_130,0.10344827586206896,-0.9310344827586207
sample_131,0.10344827586206896,-0.9310344827586207
sample_132,0.1724137931034483,-1.0
sample_133,0.1724137931034483,-1.0
sample_134,-0.5172413793103449,0.5172413793103449
sample_135,-0.5172413793103449,0.5172413793103449
sample_136,0.3103448275862069,0.034482758620689655
sample_137,0.2413793103448276,0.034482758620689655
sample_138,0.2413793103448276,0.10344827586206896
sample_139,0.1724137931034483,0.10344827586206896
sample_140,0.2413793103448276,0.10344827586206896
sample_141,0.3103448275862069,-0.6551724137931034
sample_142,-0.4482758620689655,0.4482758620689655
sample_143,0.3793103448275862,-0.5172413793103449
sample_144,0.3793103448275862,-0.4482758620689655
sample_145,0.3793103448275862,-0.4482758620689655
sample_146,0.2413793103448276,-0.9310344827586207
sample_147,0.2413793103448276,-0.9310344827586207
sample_148,0.3793103448275862,0.10344827586206896
sample_149,0.3793103448275862,0.10344827586206896
sample_150,0.3793103448275862,0.034482758620689655
sample_151,0.3793103448275862,0.034482758620689655
sample_152,0.3793103448275862,0.10344827586206896
sample_153,0.3793103448275862,0.10344827586206896
sample_154,0.3793103448275862,0.10344827586206896
sample_155,0.3793103448275862,0.10344827586206896
sample_156,0.3103448275862069,0.034482758620689655
sample_157,0.3793103448275862,-0.034482758620689655
sample_158,-0.3793103448275862,0.7241379310344828
sample_159,0.3103448275862069,0.10344827586206896
sample_160,0.3793103448275862,0.10344827586206896
sample_161,0.3103448275862069,0.1724137931034483
sample_162,0.3103448275862069,0.10344827586206896
sample_163,0.3103448275862069,0.10344827586206896
sample_164,0.3103448275862069,0.10344827586206896
sample_165,0.034482758620689655,0.5172413793103449
sample_166,-0.034482758620689655,0.5172413793103449
sample_167,0.4482758620689655,-1.0
sample_168,0.4482758620689655,-0.5172413793103449
sample_169,-0.5862068965517241,0.6551724137931034
sample_170,0.5172413793103449,-0.3793103448275862
sample_171,0.5172413793103449,-0.3793103448275862
sample_172,0.5172413793103449,-0.3793103448275862
sample_173,0.5172413793103449,-0.3793103448275862
sample_174,0.5172413793103449,-0.3793103448275862
sample_175,0.5172413793103449,-0.3793103448275862
sample_176,0.5172413793103449,-0.3793103448275862
sample_177,-0.1724137931034483,0.7241379310344828
sample_178,0.4482758620689655,0.10344827586206896
sample_179,0.4482758620689655,0.1724137931034483
sample_180,0.4482758620689655,0.1724137931034483
sample_181,0.3793103448275862,0.1724137931034483
sample_182,-0.8620689655172413,1.0
sample_183,0.7241379310344828,-0.3793103448275862
sample_184,0.6551724137931034,-0.3103448275862069
sample_185,0.6551724137931034,-0.3103448275862069
sample_186,0.6551724137931034,-0.3103448275862069
sample_187,0.6551724137931034,-0.3103448275862069
sample_188,0.7241379310344828,-0.3103448275862069
sample_189,0.6551724137931034,-0.3103448275862069
sample_190,0.5172413793103449,0.1724137931034483
sample_191,0.4482758620689655,0.2413793103448276
sample_192,-0.2413793103448276,1.0
sample_193,0.7241379310344828,-0.9310344827586207
sample_194,0.7931034482758621,-0.9310344827586207
sample_195,-0.9310344827586207,1.0
sample_196,1.0,-0.1724137931034483
sample_197,0.6551724137931034,0.2413793103448276
sample_198,0.5862068965517241,0.3103448275862069
sample_199,0.3103448275862069,0.6551724137931034
sample_200,1.0,-0.6551724137931034
sample_201,0.9310344827586207,-0.9310344827586207
sample_202,1.0,-0.7241379310344828
sample_203,1.0,0.3103448275862069
sample_204,1.0,0.3103448275862069
sample_205,-0.8620689655172413,1.0
sample_206,1.0,0.4482758620689655
sample_207,0.7931034482758621,0.9310344827586207
sample_208,1.0,0.5862068965517241
sample_209,0.7931034482758621,0.9310344827586207
sample_210,0.7931034482758621,0.9310344827586207
sample_211,1.0,0.7241379310344828
sample_212,0.9310344827586207,1.0
sample_213,-0.5172413793103449,0.2413793103448276
sample_214,-0.3103448275862069,0.034482758620689655
sample_215,-0.3793103448275862,-0.1724137931034483
sample_216,-1.0,-1.0
sample_217,-0.4482758620689655,-0.10344827586206896
sample_218,-0.10344827586206896,0.1724137931034483
sample_219,-0.034482758620689655,0.10344827586206896
sample_220,-0.2413793103448276,-0.034482758620689655
sample_221,-0.5172413793103449,-0.1724137931034483
sample_222,-0.8620689655172413,-1.0
sample_223,-0.7241379310344828,-1.0
sample_224,-0.3793103448275862,-0.5862068965517241
sample_225,-0.3103448275862069,-1.0
sample_226,-0.3793103448275862,0.034482758620689655
sample_227,-0.034482758620689655,-0.1724137931034483
sample_228,0.034482758620689655,-0.2413793103448276
sample_229,-0.034482758620689655,-0.1724137931034483
sample_230,0.034482758620689655,0.3103448275862069
sample_231,-0.4482758620689655,0.2413793103448276
sample_232,-1.0,0.2413793103448276
sample_233,-1.0,0.1724137931034483
sample_234,-1.0,0.1724137931034483
sample_235,-0.1724137931034483,-0.8620689655172413
sample_236,-0.5172413793103449,-0.5862068965517241
sample_237,0.1724137931034483,0.5172413793103449
sample_238,-0.5172413793103449,-0.034482758620689655
sample_239,-0.5862068965517241,-0.10344827586206896
sample_240,-0.4482758620689655,-0.034482758620689655
sample_241,-0.3103448275862069,-0.7241379310344828
sample_242,0.10344827586206896,-1.0
sample_243,0.1724137931034483,-0.3103448275862069
sample_244,0.1724137931034483,-0.3103448275862069
sample_245,0.1724137931034483,-0.3103448275862069
sample_246,0.10344827586206896,-0.2413793103448276
sample_247,-0.1724137931034483,0.2413793103448276
sample_248,0.034482758620689655,-0.034482758620689655
sample_249,0.10344827586206896,-0.10344827586206896
sample_250,0.034482758620689655,-0.034482758620689655
sample_251,-0.4482758620689655,0.2413793103448276
sample_252,-0.3103448275862069,0.3793103448275862
sample_253,-0.3793103448275862,0.3793103448275862
sample_254,-0.6551724137931034,0.3793103448275862
sample_255,-0.5862068965517241,0.3793103448275862
sample_256,-0.6551724137931034,0.3793103448275862
sample_257,-0.6551724137931034,0.3793103448275862
sample_258,-0.1724137931034483,0.3103448275862069
sample_259,-0.3793103448275862,-0.8620689655172413
sample_260,-0.3793103448275862,-0.8620689655172413
sample_261,-0.4482758620689655,-0.7931034482758621
sample_262,-0.3793103448275862,-0.7931034482758621
sample_263,-0.3793103448275862,-0.8620689655172413
sample_264,-0.2413793103448276,0.3103448275862069
sample_265,-0.9310344827586207,-1.0
sample_266,-0.2413793103448276,-0.9310344827586207
sample_267,-0.5862068965517241,0.034482758620689655
sample_268,-0.5172413793103449,-0.4482758620689655
sample_269,-0.5172413793103449,-0.034482758620689655
sample_270,0.10344827586206896,-0.3793103448275862
sample_271,-0.6551724137931034,0.3103448275862069
sample_272,-1.0,0.1724137931034483
sample_273,-0.5172413793103449,0.4482758620689655
sample_274,-0.1724137931034483,-0.9310344827586207
sample_275,0.10344827586206896,-0.9310344827586207
sample_276,0.1724137931034483,-1.0
sample_277,0.1724137931034483,0.034482758620689655
sample_278,0.3103448275862069,0.034482758620689655
sample_279,0.2413793103448276,0.034482758620689655
sample_280,0.3793103448275862,-0.4482758620689655
sample_281,0.3103448275862069,0.10344827586206896
sample_282,-0.5172413793103449,0.6551724137931034
sample_283,-0.9310344827586207,1.0
sample_284,0.6551724137931034,-0.3103448275862069
sample_285,0.6551724137931034,-0.3103448275862069
sample_286,0.4482758620689655,0.1724137931034483
sample_287,0.1724137931034483,0.6551724137931034
sample_288,1.0,-0.1724137931034483
sample_289,1.0,-0.6551724137931034
sample_290,1.0,0.4482758620689655
sample_291,-0.10344827586206896,-0.034482758620689655
sample_292,-0.2413793103448276,-0.034482758620689655
sample_293,0.10344827586206896,-1.0
sample_294,-0.4482758620689655,0.5172413793103449
