"",sepal length,sepal width,petal length,petal width,species_setosa,species_versicolor,species_virginica
sample 1,5.1,3.5,1.4,0.2,true,false,false
sample 2,4.9,3.0,1.4,0.2,true,false,false
sample 3,4.7,3.2,1.3,0.2,true,false,false
sample 4,4.6,3.1,1.5,0.2,true,false,false
sample 5,5.0,3.6,1.4,0.2,true,false,false
sample 6,5.4,3.9,1.7,0.4,true,false,false
sample 7,4.6,3.4,1.4,0.3,true,false,false
sample 8,5.0,3.4,1.5,0.2,true,false,false
sample 9,4.4,2.9,1.4,0.2,true,false,false
sample 10,4.9,3.1,1.5,0.1,true,false,false
sample 11,5.4,3.7,1.5,0.2,true,false,false
sample 12,4.8,3.4,1.6,0.2,true,false,false
sample 13,4.8,3.0,1.4,0.1,true,false,false
sample 14,4.3,3.0,1.1,0.1,true,false,false
sample 15,5.8,4.0,1.2,0.2,true,false,false
sample 16,5.7,4.4,1.5,0.4,true,false,false
sample 17,5.4,3.9,1.3,0.4,true,false,false
sample 18,5.1,3.5,1.4,0.3,true,false,false
sample 19,5.7,3.8,1.7,0.3,true,false,false
sample 20,5.1,3.8,1.5,0.3,true,false,false
sample 21,5.4,3.4,1.7,0.2,true,false,false
sample 22,5.1,3.7,1.5,0.4,true,false,false
sample 23,4.6,3.6,1.0,0.2,true,false,false
sample 24,5.1,3.3,1.7,0.5,true,false,false
sample 25,4.8,3.4,1.9,0.2,true,false,false
sample 26,5.0,3.0,1.6,0.2,true,false,false
sample 27,5.0,3.4,1.6,0.4,true,false,false
sample 28,5.2,3.5,1.5,0.2,true,false,false
sample 29,5.2,3.4,1.4,0.2,true,false,false
sample 30,4.7,3.2,1.6,0.2,true,false,false
sample 31,4.8,3.1,1.6,0.2,true,false,false
sample 32,5.4,3.4,1.5,0.4,true,false,false
sample 33,5.2,4.1,1.5,0.1,true,false,false
sample 34,5.5,4.2,1.4,0.2,true,false,false
sample 35,4.9,3.1,1.5,0.2,true,false,false
sample 36,5.0,3.2,1.2,0.2,true,false,false
sample 37,5.5,3.5,1.3,0.2,true,false,false
sample 38,4.9,3.6,1.4,0.1,true,false,false
sample 39,4.4,3.0,1.3,0.2,true,false,false
sample 40,5.1,3.4,1.5,0.2,true,false,false
sample 41,5.0,3.5,1.3,0.3,true,false,false
sample 42,4.5,2.3,1.3,0.3,true,false,false
sample 43,4.4,3.2,1.3,0.2,true,false,false
sample 44,5.0,3.5,1.6,0.6,true,false,false
sample 45,5.1,3.8,1.9,0.4,true,false,false
sample 46,4.8,3.0,1.4,0.3,true,false,false
sample 47,5.1,3.8,1.6,0.2,true,false,false
sample 48,4.6,3.2,1.4,0.2,true,false,false
sample 49,5.3,3.7,1.5,0.2,true,false,false
sample 50,5.0,3.3,1.4,0.2,true,false,false
sample 51,7.0,3.2,4.7,1.4,false,true,false
sample 52,6.4,3.2,4.5,1.5,false,true,false
sample 53,6.9,3.1,4.9,1.5,false,true,false
sample 54,5.5,2.3,4.0,1.3,false,true,false
sample 55,6.5,2.8,4.6,1.5,false,true,false
sample 56,5.7,2.8,4.5,1.3,false,true,false
sample 57,6.3,3.3,4.7,1.6,false,true,false
sample 58,4.9,2.4,3.3,1.0,false,true,false
sample 59,6.6,2.9,4.6,1.3,false,true,false
sample 60,5.2,2.7,3.9,1.4,false,true,false
sample 61,5.0,2.0,3.5,1.0,false,true,false
sample 62,5.9,3.0,4.2,1.5,false,true,false
sample 63,6.0,2.2,4.0,1.0,false,true,false
sample 64,6.1,2.9,4.7,1.4,false,true,false
sample 65,5.6,2.9,3.6,1.3,false,true,false
sample 66,6.7,3.1,4.4,1.4,false,true,false
sample 67,5.6,3.0,4.5,1.5,false,true,false
sample 68,5.8,2.7,4.1,1.0,false,true,false
sample 69,6.2,2.2,4.5,1.5,false,true,false
sample 70,5.6,2.5,3.9,1.1,false,true,false
sample 71,5.9,3.2,4.8,1.8,false,true,false
sample 72,6.1,2.8,4.0,1.3,false,true,false
sample 73,6.3,2.5,4.9,1.5,false,true,false
sample 74,6.1,2.8,4.7,1.2,false,true,false
sample 75,6.4,2.9,4.3,1.3,false,true,false
sample 76,6.6,3.0,4.4,1.4,false,true,false
sample 77,6.8,2.8,4.8,1.4,false,true,false
sample 78,6.7,3.0,5.0,1.7,false,true,false
sample 79,6.0,2.9,4.5,1.5,false,true,false
sample 80,5.7,2.6,3.5,1.0,false,true,false
sample 81,5.5,2.4,3.8,1.1,false,true,false
sample 82,5.5,2.4,3.7,1.0,false,true,false
sample 83,5.8,2.7,3.9,1.2,false,true,false
sample 84,6.0,2.7,5.1,1.6,false,true,false
sample 85,5.4,3.0,4.5,1.5,false,true,false
sample 86,6.0,3.4,4.5,1.6,false,true,false
sample 87,6.7,3.1,4.7,1.5,false,true,false
sample 88,6.3,2.3,4.4,1.3,false,true,false
sample 89,5.6,3.0,4.1,1.3,false,true,false
sample 90,5.5,2.5,4.0,1.3,false,true,false
sample 91,5.5,2.6,4.4,1.2,false,true,false
sample 92,6.1,3.0,4.6,1.4,false,true,false
sample 93,5.8,2.6,4.0,1.2,false,true,false
sample 94,5.0,2.3,3.3,1.0,false,true,false
sample 95,5.6,2.7,4.2,1.3,false,true,false
sample 96,5.7,3.0,4.2,1.2,false,true,false
sample 97,5.7,2.9,4.2,1.3,false,true,false
sample 98,6.2,2.9,4.3,1.3,false,true,false
sample 99,5.1,2.5,3.0,1.1,false,true,false
sample 100,5.7,2.8,4.1,1.3,false,true,false
sample 101,6.3,3.3,6.0,2.5,false,false,true
sample 102,5.8,2.7,5.1,1.9,false,false,true
sample 103,7.1,3.0,5.9,2.1,false,false,true
sample 104,6.3,2.9,5.6,1.8,false,false,true
sample 105,6.5,3.0,5.8,2.2,false,false,true
sample 106,7.6,3.0,6.6,2.1,false,false,true
sample 107,4.9,2.5,4.5,1.7,false,false,true
sample 108,7.3,2.9,6.3,1.8,false,false,true
sample 109,6.7,2.5,5.8,1.8,false,false,true
sample 110,7.2,3.6,6.1,2.5,false,false,true
sample 111,6.5,3.2,5.1,2.0,false,false,true
sample 112,6.4,2.7,5.3,1.9,false,false,true
sample 113,6.8,3.0,5.5,2.1,false,false,true
sample 114,5.7,2.5,5.0,2.0,false,false,true
sample 115,5.8,2.8,5.1,2.4,false,false,true
sample 116,6.4,3.2,5.3,2.3,false,false,true
sample 117,6.5,3.0,5.5,1.8,false,false,true
sample 118,7.7,3.8,6.7,2.2,false,false,true
sample 119,7.7,2.6,6.9,2.3,false,false,true
sample 120,6.0,2.2,5.0,1.5,false,false,true
sample 121,6.9,3.2,5.7,2.3,false,false,true
sample 122,5.6,2.8,4.9,2.0,false,false,true
sample 123,7.7,2.8,6.7,2.0,false,false,true
sample 124,6.3,2.7,4.9,1.8,false,false,true
sample 125,6.7,3.3,5.7,2.1,false,false,true
sample 126,7.2,3.2,6.0,1.8,false,false,true
sample 127,6.2,2.8,4.8,1.8,false,false,true
sample 128,6.1,3.0,4.9,1.8,false,false,true
sample 129,6.4,2.8,5.6,2.1,false,false,true
sample 130,7.2,3.0,5.8,1.6,false,false,true
sample 131,7.4,2.8,6.1,1.9,false,false,true
sample 132,7.9,3.8,6.4,2.0,false,false,true
sample 133,6.4,2.8,5.6,2.2,false,false,true
sample 134,6.3,2.8,5.1,1.5,false,false,true
sample 135,6.1,2.6,5.6,1.4,false,false,true
sample 136,7.7,3.0,6.1,2.3,false,false,true
sample 137,6.3,3.4,5.6,2.4,false,false,true
sample 138,6.4,3.1,5.5,1.8,false,false,true
sample 139,6.0,3.0,4.8,1.8,false,false,true
sample 140,6.9,3.1,5.4,2.1,false,false,true
sample 141,6.7,3.1,5.6,2.4,false,false,true
sample 142,6.9,3.1,5.1,2.3,false,false,true
sample 143,5.8,2.7,5.1,1.9,false,false,true
sample 144,6.8,3.2,5.9,2.3,false,false,true
sample 145,6.7,3.3,5.7,2.5,false,false,true
sample 146,6.7,3.0,5.2,2.3,false,false,true
sample 147,6.3,2.5,5.0,1.9,false,false,true
sample 148,6.5,3.0,5.2,2.0,false,false,true
sample 149,6.2,3.4,5.4,2.3,false,false,true
sample 150,5.9,3.0,5.1,1.8,false,false,true
